type_of_product,generic_product_type,sub_industry,industry,price_per_unit_sar,total_quantity,unit_of_measurement_mlgunits,channel
H5-Hardwood floor cleaner,Floor cleaner,Home,Households,85.0,1035.0,mL,E-commerce
H5-Hardwood floor cleaner,Floor cleaner,Home,Households,37.0,1500.0,mL,Retail
H6-Wood polish for furniture,Furniture polish,Home,Households,45.0,354.0,mL,Retail
H6-Wood polish for furniture,Furniture polish,Home,Households,56.0,355.0,mL,Retail
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,111.0,221.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,52.0,473.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,179.0,450.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,90.0,118.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,75.0,236.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,209.0,177.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,99.0,236.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,379.0,3785.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,179.0,510.0,mL,E-commerce
H6-Leather cleaner,Leather and vinyl cleaner,Home,Households,22.0,236.0,mL,E-commerce
H6-Wood polish for furniture,Furniture polish,Home,Households,47.0,473.0,mL,Retail
H6-Wood polish for furniture,Furniture polish,Home,Households,42.0,650.0,mL,Retail
H6-Wood polish for furniture,Furniture polish,Home,Households,5.75,500.0,mL,Retail
H6-Wood polish for furniture,Furniture polish,Home,Households,5.75,300.0,mL,Retail
H6-Wood polish for furniture,Furniture polish,Home,Households,46.0,372.0,mL,E-commerce
H6-Wood polish for furniture,Furniture polish,Home,Households,50.0,384.0,mL,E-commerce
H6-Wood polish for furniture,Furniture polish,Home,Households,45.0,354.0,mL,E-commerce
H6-Wood polish for furniture,Furniture polish,Home,Households,41.0,650.0,mL,E-commerce
H7-Carpet shampoo,Carpet shampoo,Home,Households,90.0,1892.0,mL,Retail
H7-Carpet shampoo,Carpet shampoo,Home,Households,60.0,1000.0,mL,Retail
H7-Carpet shampoo,Carpet shampoo,Home,Households,5.75,1000.0,mL,Retail
H7-Carpet shampoo,Carpet shampoo,Home,Households,50.0,650.0,mL,E-commerce
H7-Carpet shampoo,Carpet shampoo,Home,Households,145.0,5000.0,mL,E-commerce
H7-Carpet shampoo,Carpet shampoo,Home,Households,199.0,4000.0,mL,E-commerce
H7-Carpet shampoo,Carpet shampoo,Home,Households,117.0,1000.0,mL,E-commerce
H7-Carpet shampoo,Carpet shampoo,Home,Households,52.0,5000.0,mL,E-commerce
H7-Carpet shampoo,Carpet shampoo,Home,Households,174.0,1000.0,mL,E-commerce
H7-Carpet shampoo,Carpet shampoo,Home,Households,5.75,3750.0,mL,Retail
H11-Aerosol air freshener,Air freshener,Home,Households,24.0,200.0,mL,Retail
H7-Fabric freshener for furnitures,Fabric refresher,Home,Households,10.0,750.0,mL,Retail
H7-Fabric freshener for furnitures,Fabric refresher,Home,Households,52.0,270.0,mL,E-commerce
H7-Fabric freshener for furnitures,Fabric refresher,Home,Households,36.0,370.0,mL,E-commerce
H11-Odor neutralizing spray,Odor eliminator,Home,Households,39.0,500.0,mL,E-commerce
H7-Fabric freshener for furnitures,Fabric refresher,Home,Households,137.0,532.0,mL,E-commerce
H7-Fabric freshener for furnitures,Fabric refresher,Home,Households,67.0,236.0,mL,E-commerce
H7-Fabric freshener for furnitures,Fabric refresher,Home,Households,32.0,473.0,mL,E-commerce
H11-Odor neutralizing spray,Odor eliminator,Home,Households,41.0,236.0,mL,E-commerce
H7-Fabric freshener for furnitures,Fabric refresher,Home,Households,5.75,500.0,mL,Retail
H7-Carpet shampoo,Carpet shampoo,Home,Households,53.0,650.0,mL,Retail
H7-Spot remover for carpets,Stain remover,Home,Households,47.0,650.0,mL,E-commerce
H7-Spot remover for carpets,Stain remover,Home,Households,165.0,1000.0,mL,E-commerce
H7-Spot remover for carpets,Stain remover,Home,Households,124.0,396.0,mL,E-commerce
H7-Spot remover for carpets,Stain remover,Home,Households,109.0,450.0,mL,E-commerce
H7-Spot remover for carpets,Stain remover,Home,Households,114.0,454.0,mL,E-commerce
H7-Spot remover for carpets,Stain remover,Home,Households,52.0,532.0,mL,E-commerce
H7-Spot remover for carpets,Stain remover,Home,Households,109.0,502.0,mL,E-commerce
H7-Spot remover for carpets,Stain remover,Home,Households,94.0,709.0,mL,E-commerce
H7-Spot remover for carpets,Stain remover,Home,Households,30.0,500.0,mL,Retail
H7-Upholstery stain remover,Stain remover,Home,Households,43.0,250.0,mL,Retail
H7-Upholstery stain remover,Stain remover,Home,Households,111.0,650.0,mL,E-commerce
H7-Upholstery stain remover,Stain remover,Home,Households,210.0,1300.0,mL,E-commerce
H7-Upholstery stain remover,Stain remover,Home,Households,55.0,500.0,mL,E-commerce
H7-Upholstery stain remover,Stain remover,Home,Households,18.0,1000.0,mL,E-commerce
H7-Upholstery stain remover,Stain remover,Home,Households,168.0,425.0,mL,E-commerce
H7-Upholstery stain remover,Stain remover,Home,Households,50.0,623.0,mL,E-commerce
H7-Upholstery stain remover,Stain remover,Home,Households,90.0,1042.0,mL,E-commerce
H7-Upholstery stain remover,Stain remover,Home,Households,48.0,652.0,mL,Retail
H7-Upholstery stain remover,Stain remover,Home,Households,41.0,400.0,mL,Retail
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,24.0,219.0,mL,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,31.75,232.0,mL,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,35.0,461.0,mL,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,243.0,1275.0,mL,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,126.0,315.0,mL,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,49.75,1000.0,mL,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,188.0,30.0,units,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,235.0,300.0,units,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,78.0,280.0,mL,E-commerce
H8-Disinfectant wipes,Cleaning wet wipes,Home,Households,181.0,90.0,units,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,18.72,300.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,23.34,400.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,144.0,1000.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,67.0,510.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,15.0,496.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,31.84,550.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,16.09,300.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,22.47,400.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,37.47,500.0,mL,E-commerce
H8-Germicidal spray,Disinfectant and cleaner,Home,Households,44.97,700.0,mL,E-commerce
H12-Hand soap,Hand soap,Home,Households,40.0,400.0,mL,Retail
H8-Hand sanitizer,Hand sanitizer,Home,Households,14.87,60.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,60.0,4000.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,40.0,450.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,46.0,450.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,20.0,538.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,1500.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,1500.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,750.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,225.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,3000.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,3000.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,1500.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,3000.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,3000.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,3000.0,mL,Retail
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,5.75,4000.0,mL,Retail
H9-Bleach,Bleach,Home,Households,14.51,4000.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,28.13,500.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,51.0,450.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,17.63,500.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,75.0,2000.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,19.88,300.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,37.13,450.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,26.75,500.0,mL,E-commerce
H11-Odor neutralizing spray,Odor eliminator,Home,Households,22.89,768.0,mL,E-commerce
H11-Odor neutralizing spray,Odor eliminator,Home,Households,36.17,100.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,36.64,739.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,36.3,946.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,36.8,450.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,36.09,2000.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,26.85,750.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,19.65,250.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,34.5,200.0,mL,E-commerce
H11-Odor neutralizing spray,Odor eliminator,Home,Households,21.85,500.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,18.1,250.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,47.15,450.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,44.85,500.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,36.8,350.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,24.0,750.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,26.25,3000.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,31.13,4500.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,18.0,1500.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,34.13,2000.0,mL,E-commerce
H8-Surface sanitizer spray,Disinfectant and cleaner,Home,Households,17.63,500.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,95.0,354.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,77.0,473.0,mL,E-commerce
H8-Surface disinfectant spray,Disinfectant and cleaner,Home,Households,32.46,768.0,mL,E-commerce
H8-Surface sanitizer spray,Disinfectant and cleaner,Home,Households,23.0,120.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,14.0,300.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,137.0,354.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,15.0,266.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,39.0,354.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,39.0,473.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,124.0,312.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,103.0,340.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,47.0,473.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,46.0,354.0,mL,E-commerce
H8-Hand sanitizer,Hand sanitizer,Home,Households,14.0,236.0,mL,E-commerce
H8-Hand sanitizer,Hand sanitizer,Home,Households,15.0,500.0,mL,E-commerce
H8-Hand sanitizer,Hand sanitizer,Home,Households,8.0,29.0,mL,E-commerce
H8-Hand sanitizer,Hand sanitizer,Home,Households,23.0,473.0,mL,E-commerce
H8-Hand sanitizer,Hand sanitizer,Home,Households,13.0,59.0,mL,E-commerce
H8-Hand sanitizer,Hand sanitizer,Home,Households,17.0,236.0,mL,E-commerce
H8-Hand sanitizer,Hand sanitizer,Home,Households,26.0,236.0,mL,E-commerce
H8-Hand sanitizer,Hand sanitizer,Home,Households,13.0,500.0,mL,E-commerce
H8-Dust mite spray,Bug repellent,Home,Households,157.0,368.0,mL,E-commerce
H9-Bleach,Bleach,Home,Households,23.0,3780.0,mL,Retail
H9-Bleach,Bleach,Home,Households,24.0,3790.0,mL,Retail
H9-Bleach,Bleach,Home,Households,29.0,3790.0,mL,Retail
H9-Bleach,Bleach,Home,Households,71.0,500.0,mL,Retail
H9-Bleach,Bleach,Home,Households,5.75,3780.0,mL,Retail
H9-Bleach,Bleach,Home,Households,5.75,3780.0,mL,Retail
H9-Bleach,Bleach,Home,Households,5.75,3780.0,mL,Retail
H9-Bleach,Bleach,Home,Households,5.75,3780.0,mL,Retail
H9-Bleach,Bleach,Home,Households,5.75,950.0,mL,Retail
H9-Bleach,Bleach,Home,Households,46.0,3000.0,mL,Retail
H9-Bleach,Bleach,Home,Households,5.75,3780.0,mL,Retail
H9-Bleach,Bleach,Home,Households,6.5,950.0,mL,Retail
H9-Bleach,Bleach,Home,Households,13.0,1890.0,mL,Retail
H9-Bleach,Bleach,Home,Households,12.0,1890.0,mL,Retail
H9-Bleach,Bleach,Home,Households,3.5,470.0,mL,Retail
H9-Bleach,Bleach,Home,Households,24.0,3780.0,mL,Retail
H9-Bleach,Bleach,Home,Households,10.0,495.0,mL,Retail
H9-Bleach,Bleach,Home,Households,21.75,3780.0,mL,E-commerce
H9-Bleach,Bleach,Home,Households,5.5,950.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,69.0,500.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,52.75,804.4,mL,Retail
H9-Fabric refresher,Fabric refresher,Home,Households,80.0,156.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,35.85,370.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,87.19,500.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,23.95,200.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,21.39,375.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,39.0,800.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,23.0,370.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,38.55,591.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,75.0,500.0,mL,E-commerce
H11-Odor neutralizing spray,Odor eliminator,Home,Households,43.38,325.0,mL,E-commerce
H11-Odor neutralizing spray,Odor eliminator,Home,Households,559.0,11340.0,mL,B2B
H9-Scent booster for laundry,Scent booster,Home,Households,229.0,2500.0,mL,B2B
H9-Scent booster for laundry,Scent booster,Home,Households,38.3,800.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,25.03,750.0,mL,E-commerce
H9-Scent booster for laundry,Scent booster,Home,Households,22.75,400.0,mL,B2B
H9-Scent booster for laundry,Scent booster,Home,Households,504.86,6000.0,mL,B2B
H9-Scent booster for laundry,Scent booster,Home,Households,23.0,2000.0,mL,Retail
H9-Fabric refresher,Fabric refresher,Home,Households,48.0,200.0,mL,E-commerce
H9-Fabric refresher,Fabric refresher,Home,Households,34.88,50.0,mL,E-commerce
H9-Stain remover for laundry,Stain remover,Home,Households,28.0,500.0,mL,Retail
H9-Dryer sheets,Dryer sheets,Home,Households,110.0,160.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,49.0,105.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,72.0,240.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,80.0,240.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,50.0,144.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,201.0,120.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,54.0,80.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,29.0,80.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,154.0,240.0,units,E-commerce
H9-Dryer sheets,Dryer sheets,Home,Households,235.0,230.0,units,E-commerce
H9-Fabric softener,Fabric softener,Home,Households,33.0,3000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,11.5,2000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,17.0,2000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,17.0,1000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,11.5,2000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,750.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,11.5,2000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,19.0,3000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,23.0,3000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,11.5,3000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,24.5,3900.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,2000.0,mL,Retail
H9-Liquid detergent,Detergent (liquid),Home,Households,5.75,1000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,1800.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,2000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,2000.0,mL,Retail
H9-Liquid detergent,Detergent (liquid),Home,Households,5.75,700.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,1500.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,1000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,1000.0,mL,Retail
H9-Liquid detergent,Detergent (liquid),Home,Households,5.75,2000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,5.75,1000.0,mL,Retail
H9-Liquid detergent,Detergent (liquid),Home,Households,12.0,1000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,12.0,1000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,18.0,2000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,27.0,3000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,19.5,2000.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,34.0,1800.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,15.0,700.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,23.0,1000.0,mL,Retail
H9-Liquid detergent,Detergent (liquid),Home,Households,29.0,950.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,9.0,900.0,mL,Retail
H9-Fabric softener,Fabric softener,Home,Households,14.0,3000.0,mL,Retail
H9-Liquid detergent,Detergent (liquid),Home,Households,38.0,1400.0,mL,Retail
H9-Liquid detergent,Detergent (liquid),Home,Households,43.0,1800.0,mL,Retail
H9-Fabric refresher,Fabric refresher,Home,Households,51.0,1840.0,mL,Retail
H9-Liquid detergent,Detergent (liquid),Home,Households,43.95,4800.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,23.95,2000.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,45.9,3600.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,31.05,500.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,48.9,3000.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,39.0,6000.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,52.9,1000.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,262.27,5000.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,26.07,1000.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,26.07,1000.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,65.05,940.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,58.81,1480.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,106.66,1890.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,39.39,750.0,mL,E-commerce
H9-Liquid detergent,Detergent (liquid),Home,Households,53.23,750.0,mL,E-commerce
H9-Powder detergent,Detergent (powder),Home,Households,88.0,9000.0,mL,Retail
H9-Powder detergent,Detergent (powder),Home,Households,5.75,1300.0,mL,Retail
H9-Powder detergent,Detergent (powder),Home,Households,55.0,8000.0,mL,Retail
H9-Powder detergent,Detergent (powder),Home,Households,69.0,5000.0,mL,Retail
H9-Powder detergent,Detergent (powder),Home,Households,85.0,2000.0,mL,E-commerce
H9-Powder detergent,Detergent (powder),Home,Households,108.0,3000.0,mL,E-commerce
H9-Powder detergent,Detergent (powder),Home,Households,86.0,473.0,mL,E-commerce
H9-Powder detergent,Detergent (powder),Home,Households,261.0,1047.0,mL,E-commerce
H9-Powder detergent,Detergent (powder),Home,Households,178.0,59.0,mL,E-commerce
H9-Powder detergent,Detergent (powder),Home,Households,80.0,900.0,mL,E-commerce
H9-Scent booster for laundry,Scent booster,Home,Households,22.95,210.0,g,E-commerce
H9-Scent booster for laundry,Scent booster,Home,Households,96.09,515.0,g,E-commerce
H9-Scent booster for laundry,Scent booster,Home,Households,61.0,194.0,g,E-commerce
H9-Scent booster for laundry,Scent booster,Home,Households,78.73,1117.89,g,E-commerce
H9-Stain remover for laundry,Stain remover,Home,Households,43.0,2700.0,mL,Retail
H9-Stain remover for laundry,Stain remover,Home,Households,25.0,500.0,mL,Retail
H9-Stain remover on the go,Stain remover,Home,Households,20.0,500.0,mL,Retail
H9-Stain remover on the go,Stain remover,Home,Households,18.0,900.0,mL,Retail
H9-Stain remover for laundry,Stain remover,Home,Households,26.75,500.0,mL,E-commerce
H9-Stain remover for laundry,Stain remover,Home,Households,23.46,473.0,mL,E-commerce
H9-Stain remover for laundry,Stain remover,Home,Households,57.1,473.0,mL,E-commerce
H9-Stain remover for laundry,Stain remover,Home,Households,40.0,800.0,mL,E-commerce
H9-Stain remover for laundry,Stain remover,Home,Households,39.0,500.0,mL,E-commerce
H9-Stain remover on the go,Stain remover,Home,Households,34.59,200.0,mL,E-commerce
H9-Stain remover on the go,Stain remover,Home,Households,5.75,750.0,mL,Retail
H9-Stain remover on the go,Stain remover,Home,Households,16.0,900.0,mL,Retail
H9-Stain remover on the go,Stain remover,Home,Households,10.0,500.0,mL,Retail
H9-Stain remover on the go,Stain remover,Home,Households,99.0,30.0,mL,E-commerce
H9-Stain remover on the go,Stain remover,Home,Households,14.8,75.0,mL,E-commerce
H9-Stain remover on the go,Stain remover,Home,Households,13.99,20.0,mL,E-commerce
H9-Stain remover on the go,Stain remover,Home,Households,21.47,9.0,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,17.95,200.0,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,62.75,474.0,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,79.8,473.0,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,149.0,1999.16,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,474.0,1182.92,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,114.42,250.0,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,134.0,1500.0,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,25.3,500.0,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,80.0,284.0,mL,E-commerce
H9-Wrinkle releaser,Wrinkle releaser,Home,Households,14.5,200.0,mL,E-commerce
P1-Coat conditioner and detanglers for pets,Pet conditioner,Pets,Households,55.0,3780.0,mL,Retail
P7-Medicated pet shampoo for skin conditions,Pet shampoo,Pets,Households,500.0,35.0,mL,Retail
P7-General purpose pet shampoo,Pet shampoo,Pets,Households,400.0,35.0,mL,Retail
P7-General purpose pet shampoo,Pet shampoo,Pets,Households,500.0,35.0,mL,Retail
P7-General purpose pet shampoo,Pet shampoo,Pets,Households,250.0,25.0,mL,Retail
P7-General purpose pet shampoo,Pet shampoo,Pets,Households,400.0,30.0,mL,Retail
P1-Coat conditioner and detanglers for pets,Pet conditioner,Pets,Households,45.0,354.0,mL,Retail
P1-Deodorizing wipes for pets,Cleaning wet wipes,Pets,Households,44.0,100.0,mL,E-commerce
P1-Deodorizing wipes for pets,Cleaning wet wipes,Pets,Households,30.0,50.0,units,Retail
P1-Deodorizing wipes for pets,Cleaning wet wipes,Pets,Households,20.0,80.0,units,Retail
P1-Deodorizing wipes for pets,Cleaning wet wipes,Pets,Households,45.0,60.0,units,Retail
P1-Deodorizing wipes for pets,Cleaning wet wipes,Pets,Households,30.0,100.0,units,Retail
P1-Deodorizing wipes for pets,Cleaning wet wipes,Pets,Households,21.0,40.0,units,Retail
P1-Waterless shampoo for pets,Pet dry shampoo,Pets,Households,36.0,474.0,mL,E-commerce
P1-Waterless shampoo for pets,Pet dry shampoo,Pets,Households,30.0,709.0,mL,Retail
P1-Waterless shampoo for pets,Pet dry shampoo,Pets,Households,89.55,250.0,mL,Retail
P1-Waterless shampoo for pets,Pet dry shampoo,Pets,Households,60.0,200.0,mL,Retail
P1-Waterless shampoo for pets,Pet dry shampoo,Pets,Households,50.0,710.0,mL,Retail
P1-Waterless shampoo for pets,Pet dry shampoo,Pets,Households,50.0,710.0,mL,Retail
P2-Air freshener for pets,Air freshener,Pets,Households,76.24,200.0,mL,Retail
P2-Air freshener for pets,Air freshener,Pets,Households,118.44,250.0,mL,Retail
P2-Air freshener for pets,Air freshener,Pets,Households,85.0,236.0,mL,Retail
P2-Air freshener for pets,Air freshener,Pets,Households,69.0,236.0,mL,Retail
P2-Litter box deodorizer,Odor eliminator,Pets,Households,35.0,750.0,mL,Retail
P2-Litter box deodorizer,Odor eliminator,Pets,Households,30.0,425.0,mL,Retail
P2-Pet-specific odor eliminator for home,Odor eliminator,Pets,Households,25.0,120.0,mL,Retail
P2-Pet-specific odor eliminator for home,Odor eliminator,Pets,Households,60.0,750.0,mL,Retail
P2-Pet-specific odor eliminator for home,Odor eliminator,Pets,Households,50.0,500.0,mL,Retail
P3-Carpet cleaner for pet accidents,Carpet shampoo,Pets,Households,88.0,70.0,mL,E-commerce
P2-Pet-specific odor eliminator for home,Odor eliminator,Pets,Households,300.0,474.0,mL,E-commerce
